sources targets
1 2
2 3
2 4
2 6
2 7
3 5
3 6
3 8
3 9
3 12
3 24
3 26
3 30
3 39
4 7
5 6
5 8
5 9
5 12
5 24
5 26
5 30
5 39
6 8
6 9
6 12
6 24
6 26
6 30
6 39
7 13
8 9
8 12
8 15
8 16
8 17
8 22
8 24
8 25
8 26
8 27
8 30
8 31
8 39
8 46
8 47
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
9 19
9 22
9 23
9 24
9 25
9 26
9 27
9 29
9 30
9 31
9 38
9 39
9 46
9 47
10 11
10 14
10 15
10 16
10 18
10 20
10 22
10 23
10 29
10 36
10 38
10 42
10 43
10 45
10 46
10 47
10 53
10 57
11 14
11 15
11 16
11 18
11 20
11 22
11 23
11 29
11 36
11 38
11 42
11 43
11 45
11 46
11 47
11 53
11 57
12 13
13 19
13 27
13 31
14 15
15 16
15 18
15 20
15 22
15 23
15 29
15 36
15 38
15 42
15 43
15 45
15 46
15 47
15 53
15 57
14 16
16 18
16 20
16 22
16 23
16 29
16 36
16 38
16 42
16 43
16 45
16 46
16 47
16 53
16 57
17 25
17 26
17 27
17 30
17 31
17 39
14 18
18 20
18 22
18 23
18 29
18 36
18 38
18 42
18 43
18 45
18 46
18 47
18 53
18 57
12 19
19 27
19 31
14 20
20 22
20 23
20 29
20 36
20 38
20 42
20 43
20 45
20 46
20 47
20 53
20 57
21 28
21 41
14 22
22 23
22 29
22 36
22 38
22 42
22 43
22 45
22 46
22 47
22 53
22 57
23 47
24 26
24 25
25 26
25 27
25 28
25 29
25 30
25 31
25 37
25 38
25 39
25 54
25 65
25 66
26 28
26 30
26 37
26 39
10 27
11 27
12 27
16 27
18 27
24 27
26 27
27 28
27 29
27 30
27 31
27 37
27 38
27 39
27 50
27 54
27 56
27 62
27 65
27 66
28 32
28 37
28 41
14 29
21 29
23 29
28 29
29 32
29 34
29 36
29 37
29 38
29 40
29 41
29 42
29 43
29 44
29 45
29 46
29 47
29 50
29 51
29 52
29 53
29 54
29 55
29 56
29 57
29 60
29 61
29 62
29 64
29 66
29 67
29 68
29 69
29 70
30 39
10 31
11 31
12 31
16 31
18 31
26 31
29 31
30 31
31 38
31 39
32 37
33 34
33 35
33 44
33 48
33 49
33 50
33 51
33 55
33 56
33 58
33 59
33 60
33 61
33 62
33 63
33 64
33 70
33 71
33 72
34 35
34 44
34 48
34 49
34 50
34 51
34 55
34 56
34 58
34 59
34 60
34 61
34 62
34 63
34 64
34 70
34 71
34 72
35 44
35 48
35 55
35 58
35 63
14 36
21 36
23 36
28 36
32 36
34 36
36 37
36 38
36 40
36 41
36 42
36 43
36 44
36 45
36 46
36 47
36 50
36 51
36 52
36 53
36 54
36 55
36 56
36 57
36 60
36 61
36 62
36 64
36 66
36 67
36 68
36 69
36 70
21 37
37 41
14 38
21 38
23 38
28 38
32 38
34 38
37 38
38 40
38 41
38 42
38 43
38 44
38 45
38 46
38 47
38 50
38 51
38 52
38 53
38 54
38 55
38 56
38 57
38 60
38 61
38 62
38 64
38 66
38 67
38 68
38 69
38 70
39 46
40 41
40 52
40 68
35 41
41 52
41 63
14 42
21 42
23 42
28 42
32 42
33 42
34 42
35 42
37 42
40 42
41 42
42 43
42 44
42 45
42 46
42 47
42 48
42 50
42 51
42 52
42 53
42 54
42 55
42 56
42 57
42 59
42 60
42 61
42 62
42 63
42 64
42 66
42 67
42 68
42 69
42 70
42 71
42 72
14 43
21 43
23 43
28 43
32 43
33 43
34 43
35 43
37 43
40 43
41 43
43 44
43 45
43 46
43 47
43 48
43 50
43 51
43 52
43 53
43 54
43 55
43 56
43 57
43 58
43 59
43 60
43 61
43 62
43 63
43 64
43 66
43 67
43 68
43 69
43 70
43 71
43 72
44 48
44 49
44 50
44 51
44 55
44 56
44 58
44 59
44 60
44 61
44 62
44 63
44 64
44 70
44 71
44 72
23 45
34 45
40 45
41 45
44 45
45 46
45 47
45 52
45 53
45 55
45 57
45 61
46 57
14 47
46 47
47 53
47 57
48 55
48 58
48 63
48 70
48 71
35 49
48 49
49 50
49 51
49 55
49 56
49 58
49 59
49 60
49 61
49 62
49 63
49 64
49 70
49 71
49 72
35 50
48 50
50 51
50 55
50 56
50 58
50 59
50 60
50 61
50 62
50 63
50 64
50 70
50 71
50 72
35 51
48 51
51 55
51 56
51 58
51 59
51 60
51 61
51 62
51 63
51 64
51 70
51 71
51 72
21 54
28 54
32 54
37 54
40 54
41 54
45 54
52 54
53 54
54 66
54 67
54 68
54 69
55 58
55 59
55 61
55 63
35 56
48 56
55 56
56 58
56 59
56 60
56 61
56 62
56 63
56 64
56 70
56 71
56 72
58 63
59 61
35 60
48 60
55 60
58 60
59 60
60 61
60 62
60 63
60 64
60 70
60 71
60 72
35 61
48 61
58 61
61 63
35 62
48 62
55 62
58 62
59 62
61 62
62 63
62 64
62 70
62 71
62 72
35 64
48 64
55 64
58 64
59 64
61 64
63 64
64 70
64 71
64 72
24 65
26 65
21 66
28 66
32 66
37 66
40 66
41 66
45 66
52 66
53 66
66 67
66 68
66 69
21 67
28 67
32 67
37 67
40 67
41 67
45 67
52 67
53 67
67 68
67 69
21 69
28 69
32 69
33 69
34 69
35 69
37 69
40 69
41 69
45 69
52 69
53 69
63 69
64 69
68 69
69 72
35 70
55 70
58 70
59 70
61 70
63 70
70 71
70 72
35 72
48 72
55 72
58 72
59 72
61 72
63 72
71 72
