sources targets
1 2
1 12
2 11
2 12
3 4
3 14
3 24
4 13
4 25
5 6
5 16
5 25
6 15
6 17
6 27
7 8
7 32
7 47
8 9
8 28
9 18
9 28
9 43
10 20
10 31
10 33
10 46
11 12
11 36
12 21
13 14
13 39
14 40
15 16
15 40
16 42
17 18
17 19
17 47
18 19
18 20
19 20
19 43
20 46
20 48
21 22
21 37
22 23
22 36
22 38
23 24
23 37
23 39
24 38
25 27
25 42
26 27
26 32
26 42
26 47
27 40
27 41
28 29
28 44
29 30
29 43
29 45
30 31
30 44
30 46
31 45
33 35
33 50
34 35
34 50
35 48
35 49
35 50
36 37
37 38
38 39
40 42
41 42
41 47
43 44
44 45
45 46
48 50
49 50
