sources targets
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
3 17
4 17
16 17
9 17
17 18
11 17
17 19
10 17
13 17
14 17
15 17
20 21
5 20
20 22
8 20
9 20
20 23
11 20
20 24
12 20
20 25
20 26
15 20
3 16
4 16
5 16
6 16
7 16
2 16
9 16
10 16
11 16
8 16
16 18
13 16
14 16
16 19
15 16
21 22
8 22
9 22
22 23
11 22
22 24
12 22
13 22
14 22
22 26
22 25
10 22
9 23
9 11
9 24
9 12
9 26
2 9
3 9
7 9
9 10
9 15
9 21
9 19
9 13
9 14
4 9
5 9
9 18
9 25
21 23
8 23
11 23
23 24
12 23
13 23
14 23
23 26
23 25
5 23
15 23
11 15
11 24
11 26
2 11
3 11
10 11
11 21
8 11
11 19
11 13
11 14
4 11
5 11
11 18
11 25
10 24
21 24
12 24
24 25
24 26
14 24
18 24
8 24
8 12
12 15
12 21
10 12
12 25
12 26
21 26
13 26
14 26
25 26
15 26
27 28
27 29
27 30
27 31
2 4
2 5
2 6
2 8
2 10
2 19
2 18
2 13
2 14
3 4
3 6
3 8
3 18
3 19
3 10
3 13
3 14
3 7
3 15
28 31
29 31
30 31
4 10
5 10
10 18
8 10
10 15
7 10
10 19
6 10
4 15
15 21
13 15
14 15
15 19
15 18
5 15
8 15
8 21
21 25
14 21
5 21
8 25
7 8
8 19
4 8
8 18
6 8
4 19
5 19
7 19
18 19
13 19
14 19
6 19
28 29
6 29
29 30
4 13
5 13
13 18
13 25
13 14
7 13
6 13
7 14
14 18
14 25
6 14
28 30
4 5
4 6
4 18
4 7
5 6
5 18
6 7
6 18
18 25
