sources targets
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
3 17
4 17
16 17
9 17
17 18
11 17
17 19
10 17
13 17
14 17
15 17
20 21
5 20
20 22
8 20
9 20
20 23
11 20
20 24
12 20
20 25
20 26
15 20
3 16
4 16
5 16
6 16
7 16
2 16
9 16
10 16
11 16
8 16
16 18
13 16
14 16
16 19
15 16
21 22
8 22
9 22
22 23
11 22
22 24
12 22
13 22
14 22
22 26
22 25
10 22
9 23
9 11
9 24
9 12
9 26
2 9
3 9
7 9
9 10
9 15
9 21
9 19
9 13
9 14
4 9
5 9
9 18
9 25
21 23
8 23
11 23
23 24
12 23
13 23
14 23
23 26
23 25
5 23
15 23
11 15
11 24
11 26
2 11
3 11
10 11
11 21
8 11
11 19
11 13
11 14
4 11
5 11
11 18
11 25
10 24
21 24
12 24
24 25
24 26
14 24
18 24
8 24
8 12
12 15
12 21
10 12
12 25
12 26
21 26
13 26
14 26
25 26
15 26
27 28
27 29
27 30
27 31
2 4
2 5
2 6
2 8
2 10
2 19
2 18
2 13
2 14
3 4
3 6
3 8
3 18
3 19
3 10
3 13
3 14
3 7
3 15
28 31
29 31
30 31
4 10
5 10
10 18
8 10
10 15
7 10
10 19
6 10
4 15
15 21
13 15
14 15
15 19
15 18
5 15
8 15
8 21
21 25
14 21
5 21
8 25
7 8
8 19
4 8
8 18
6 8
4 19
5 19
7 19
18 19
13 19
14 19
6 19
28 29
6 29
29 30
4 13
5 13
13 18
13 25
13 14
7 13
6 13
7 14
14 18
14 25
6 14
28 30
4 5
4 6
4 18
4 7
5 6
5 18
6 7
6 18
18 25
1 32
1 33
1 34
35 36
35 37
27 35
22 38
22 39
22 37
22 40
22 41
9 41
9 39
9 37
9 40
10 32
10 26
10 42
10 31
10 33
10 41
10 43
10 44
10 13
10 14
10 37
10 45
10 34
10 46
10 47
10 36
10 25
11 38
11 12
11 33
11 37
24 38
17 24
24 48
5 24
24 41
24 40
13 24
24 39
24 37
24 32
15 24
12 32
12 48
5 12
12 46
12 36
12 40
12 39
12 37
12 34
12 41
26 32
26 49
26 31
26 50
26 41
26 39
26 43
26 37
26 45
4 26
5 26
26 47
26 51
26 36
27 32
4 27
27 49
2 27
27 50
27 36
27 51
13 27
27 52
27 43
27 37
27 45
27 41
27 47
25 38
13 38
2 17
2 40
2 48
2 31
2 33
2 41
2 43
2 15
2 44
2 37
2 34
2 46
2 47
2 36
2 25
2 50
4 48
46 48
33 48
36 48
15 48
25 48
34 48
41 48
32 49
17 49
4 49
5 49
31 49
47 49
49 50
13 49
49 52
45 49
43 49
4 31
31 44
31 51
31 50
31 36
15 31
13 31
31 52
31 37
31 45
31 41
31 43
31 47
4 33
33 46
33 44
33 36
13 33
25 33
33 37
14 33
33 34
33 41
32 33
15 33
32 41
17 41
40 41
15 41
39 41
41 43
23 41
41 42
14 41
13 41
37 41
34 41
4 41
41 46
41 47
36 41
25 41
41 50
17 40
13 40
25 40
25 39
23 39
51 52
50 52
36 52
47 52
43 52
37 52
45 52
4 43
43 51
43 50
43 47
37 43
43 45
36 43
23 32
23 37
4 32
5 32
32 47
15 32
13 32
25 32
32 37
14 32
15 44
15 37
15 34
15 47
15 36
15 25
17 44
4 44
13 44
14 44
37 44
17 42
37 42
17 47
17 50
17 37
17 36
13 37
13 45
13 47
13 50
37 45
14 37
4 37
37 46
37 47
36 37
25 37
45 51
45 50
36 45
45 47
4 14
4 34
34 46
34 36
4 46
4 47
4 36
4 25
5 25
36 46
47 51
47 50
25 47
36 47
50 51
36 51
36 50
