sources targets
3 4
3 5
6 7
1 6
6 8
9 10
9 11
9 12
9 13
8 14
8 15
8 16
8 17
8 18
7 8
1 8
8 19
8 20
11 13
12 13
21 22
19 21
23 24
4 23
2 25
2 19
19 22
14 19
16 19
19 26
19 27
19 28
19 29
19 30
19 31
15 19
19 32
19 33
17 19
7 19
19 25
5 19
14 21
21 34
21 32
21 33
21 29
21 35
10 21
15 21
21 27
21 36
15 35
33 35
35 36
18 37
38 39
14 15
14 32
14 22
14 33
7 14
14 27
7 16
16 17
11 26
5 26
11 12
22 34
22 33
22 32
22 29
10 22
22 27
10 33
1 7
1 15
1 36
27 32
27 33
27 30
25 27
27 31
27 28
28 31
28 30
25 28
29 34
30 31
25 30
4 24
25 31
15 33
15 36
32 33
33 36
17 20
7 17
7 20
