sources targets
1 35
1 37
2 18
2 26
2 32
2 33
2 66
2 76
3 7
3 10
3 16
3 30
3 44
3 52
3 57
3 67
3 75
3 80
4 53
5 49
5 60
6 15
6 40
7 36
8 20
8 64
9 23
10 67
11 46
11 53
12 33
13 59
14 51
14 65
15 40
16 30
17 25
17 31
17 66
18 32
18 66
18 76
19 84
20 22
20 40
20 56
20 64
20 81
21 40
22 40
23 36
23 43
24 33
24 54
26 33
26 36
26 86
27 30
27 41
27 48
28 30
28 55
28 74
29 60
30 41
30 48
30 55
30 61
30 62
30 82
30 83
30 84
31 66
32 66
32 76
33 34
33 36
33 44
33 58
33 77
33 86
35 36
35 37
35 71
36 42
36 43
36 44
36 68
36 73
36 85
38 39
38 74
39 74
40 45
40 54
40 58
41 48
43 53
43 69
43 72
43 79
44 73
44 80
45 58
45 59
46 53
47 49
49 60
49 61
50 77
53 69
53 72
53 79
55 58
55 59
58 59
63 81
64 78
65 84
66 76
70 77
72 79
82 83
83 84
