sources targets
3 7
4 8
5 9
6 10
7 11
8 12
9 18
10 19
11 20
12 21
13 22
14 23
15 29
16 30
17 31
18 32
19 33
20 34
21 40
22 41
23 42
24 43
25 44
26 45
27 47
28 48
29 49
1 30
2 30
4 30
1 31
2 31
5 31
1 32
2 32
6 32
3 33
13 33
3 34
12 34
14 34
4 35
7 35
15 35
5 36
8 36
16 36
6 37
9 37
17 37
7 38
10 38
8 39
11 39
9 40
12 40
10 41
11 41
15 41
10 42
11 42
16 42
10 43
11 43
17 43
13 44
14 44
24 44
14 45
23 45
25 45
15 46
18 46
26 46
16 47
19 47
17 48
20 48
18 49
21 49
19 50
22 50
20 51
23 51
21 52
22 52
26 52
21 53
22 53
27 53
21 54
22 54
28 54
24 55
25 55
35 55
25 56
34 56
36 56
26 57
29 57
37 57
27 58
30 58
38 58
28 59
31 59
39 59
29 60
32 60
30 61
33 61
31 62
34 62
32 63
33 63
37 63
32 64
33 64
38 64
32 65
33 65
39 65
35 66
36 66
46 66
36 67
45 67
37 68
40 68
38 69
41 69
39 70
42 70
40 71
43 71
41 72
44 72
42 73
45 73
43 74
44 74
47 74
48 74
43 75
44 75
47 75
48 75
43 76
44 76
47 76
48 76
49 76
46 77
49 77
