sources targets
10 11
10 12
10 13
80 10
23 8
23 14
69 15
3 15
64 15
15 16
15 17
32 57
32 18
32 19
32 20
32 77
32 21
79 16
1 2
4 22
75 5
56 5
59 5
47 24
47 25
47 26
47 27
47 28
47 29
47 30
31 33
31 34
73 31
56 71
63 35
60 63
63 36
62 63
63 37
33 34
73 34
58 38
73 38
73 33
58 73
56 59
59 75
59 6
59 68
59 9
59 70
59 39
69 3
3 19
3 16
3 17
66 69
66 72
64 66
65 66
68 9
74 2
60 2
70 40
70 20
70 39
70 41
18 22
61 22
78 22
76 22
42 43
56 44
39 44
58 30
25 30
7 45
72 39
58 75
56 75
8 14
65 69
46 69
69 16
69 19
11 13
12 13
80 13
7 48
68 6
27 28
28 29
26 28
16 49
17 49
27 29
26 29
77 21
57 21
20 21
19 21
11 12
80 12
62 36
35 36
16 17
80 50
58 43
26 27
56 39
46 65
65 51
46 67
67 52
68 53
62 35
62 54
40 41
20 41
46 52
20 40
80 14
77 18
57 18
76 18
80 11
57 20
19 20
77 20
77 78
76 78
60 37
76 77
57 77
77 19
57 55
57 19
