sources targets
1 16
9 16
10 16
1 17
13 17
14 17
1 18
6 18
7 18
10 18
1 19
6 19
7 19
8 19
2 20
6 20
7 20
11 20
12 20
2 21
6 21
7 21
9 21
10 21
2 22
15 22
3 23
6 23
7 23
11 23
12 23
3 24
6 24
7 24
9 24
10 24
4 25
5 25
4 26
11 26
12 26
4 27
6 27
7 27
12 27
4 28
6 28
7 28
10 28
6 29
7 29
9 29
10 29
4 30
5 31
5 32
13 33
14 33
13 34
14 34
14 35
14 36
6 37
7 37
11 37
12 37
6 38
7 38
11 38
12 38
6 39
7 39
12 39
6 40
7 40
12 40
6 41
7 41
9 41
10 41
6 42
7 42
9 42
10 42
6 43
7 43
10 43
6 44
7 44
10 44
6 45
7 45
8 45
6 46
7 46
8 46
15 47
15 48
