sources targets
71 72
7 66
7 49
1 7
7 8
30 36
30 32
30 42
20 30
30 37
19 30
30 31
31 32
5 34
4 34
26 34
17 29
4 9
36 67
36 42
36 43
36 52
22 39
40 67
40 50
42 73
42 46
42 57
42 74
42 75
38 76
37 38
43 67
43 49
43 44
1 43
43 77
2 43
8 43
43 52
11 22
11 12
11 78
11 21
11 62
11 65
5 11
4 11
11 35
6 11
48 79
72 80
13 33
13 14
46 73
16 46
46 75
1 46
15 77
15 16
15 48
8 66
2 8
1 8
66 73
33 66
1 66
16 48
52 67
55 67
20 51
55 56
56 70
57 64
27 81
81 82
60 81
58 68
26 68
27 68
68 69
28 68
53 68
6 68
73 75
73 83
16 47
1 16
49 77
2 49
49 52
1 2
3 14
18 55
17 55
55 70
52 55
17 18
17 41
33 77
37 76
20 37
19 37
24 37
31 37
22 35
12 35
35 62
35 65
5 35
4 35
21 35
6 35
10 18
10 54
10 12
10 78
52 84
50 52
12 18
5 18
18 27
18 65
70 76
85 86
58 78
26 58
27 58
58 69
28 58
53 58
6 58
59 87
22 62
62 65
5 62
21 62
19 20
19 31
20 31
82 87
22 65
21 65
5 65
5 22
4 5
5 12
5 21
5 6
4 12
4 78
4 23
4 6
21 22
6 12
6 53
6 27
6 26
6 69
6 28
26 27
26 69
26 28
26 53
12 23
23 78
22 25
12 78
45 88
60 63
53 60
60 69
60 82
24 61
69 78
28 78
27 69
27 28
27 53
57 74
28 57
28 69
28 53
53 69
